id	targetkeyword	targetrank	targetrankred	targetkeyworddetail	targetrankdetail	perpetkeyword	perpetrank	perpetrankred	perpetkeyworddetail	perpetrankdetail	gendersclean	itypeclean	itypewide	institutionlocation	institutionclean	cleandiscipline	reported	reportedwide	someconsequence	institutionperpetrator	institutiontarget	city	state	country	zipcode_us	zipcode	zipcode_other
1	Unknown	0	0	Unknown	0	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			History	Unknown	Unknown	None								
2	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University	Toronto, Ontario	York University	History	Unknown	Unknown	None			Toronto	Ontario	Canada		M3J	M3J
3	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Faculty	7	16	Faculty	16	Male	Other University	Research University	Lethbridge, Alberta	University of Lethbridge	History	Unknown	Unknown	None			Lethbridge	Alberta	Canada		T1K	T1K
4	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	Unknown	Research University			History 	Unknown	Unknown	None								
5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	Conference	Conference & Field Work			History	Unknown	Unknown	None								
6	Faculty	7	16	Lecturer	16.5	Faculty	7	16	Lecturer	16.5	Male	Big Ten	Research University	Lincoln, Nebraska	University of Nebraska - Lincoln	Rhetoric and Composition	Yes	Yes	None			Lincoln	Nebraska	US	68508	68508	
7	Graduate Student	4	6	TA / RA	7	Student	2	1.5	Student	1.5	Male	R2	Research University	St. Louis, Missouri	University of Missouri - St. Louis	Physics	Unknown	Private	Unknown			St. Louis	Missouri	US	63121	63121	
8	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University				No	Private	None								
9	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University	Ames, Iowa	Iowa State University	Physics	Unknown	Unknown	Unknown			Ames	Iowa	US	50012	50012	
10	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Sociology	Yes	Yes	None								
11	Faculty	7	16	Lecturer	16.5	Student	2	1.5	Student	1.5	Male	Regional Teaching College	Other College	Sioux City, Iowa	Western Iowa Tech Community College	Science	No	No	None			Sioux City	Iowa	US	51106	51106	
12	Staff	6	14.5	Staff	14.5	Administration	10	26.5	Management	26	Male	Other University	Research University			Writing	Unknown	Unknown	None								
13	Graduate Student	4	6	Master Student	6.5	Administration	10	26.5	Administration	26.5	Male	U15	Research University	Edmonton, Alberta	University of Alberta	Social Sciences	Unknown	Unknown	None			Edmonton	Alberta	Canada		T6G	T6G
14	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Regional Teaching College	Other College				Unknown	Unknown	Unknown								
15	Faculty	7	16	Post-Doctoral	13.5	Faculty	7	16	Faculty	16	Male	Conference	Conference & Field Work			Biology	Unknown	Unknown	Unknown								
16	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Comparative Literature	Unknown	Unknown	None								
17	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			History	No	No	None								
18	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University			Psychology 	No	No	None								
19	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Regional Teaching College	Other College			Biology	No	No	None								
20	Faculty	7	16	Lecturer	16.5	Tenured Professor	9	24	Tenured Professor	24	Male	Big Ten	Research University	Ann Arbor, Michigan	University of Michigan	Religious Studies	Unknown	Unknown	None			Ann Arbor	Michigan	US	48109	48109	
21	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Female	Small Liberal Arts College	Other College			Women's & Gender Studies	Unknown	Unknown	None								
22	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	Small Liberal Arts College	Other College			Religious Studies 	No	No	None								
23	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Master Student	6.5	Male	Big Ten	Research University	Bloomington, Indiana	Indiana University	Communication 	Unknown	Unknown	None			Bloomington	Indiana	US	47406	47406	
24	Graduate Student	4	6	Master Student	6.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Creative Writing	Unknown	Unknown	None								
25	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Regional Teaching College	Other College			English 	No	No	None								
26	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University				Unknown	Unknown	Unknown								
27	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University			Cultural Studies	Unknown	Unknown	Unknown								
28	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Humanities 	Unknown	Unknown	None								
29	Undergraduate Student	3	2	Undergraduate Student	2	Administration	10	26.5	Administration	26.5	Male	Regional Teaching College	Other College			Theatre	Unknown	Unknown	Unknown								
30	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University				Unknown	Unknown	Unknown								
31	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Faculty	7	16	Faculty	16	Unknown	Small Liberal Arts College	Other College			Math	No	Private	None								
32	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Big Ten	Research University	Bloomington, Indiana	Indiana University	Communication 	Unknown	Unknown	None			Bloomington	Indiana	US	47406	47406	
33	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			Chemistry 	No	No	None								
34	Graduate Student	4	6	Master Student	6.5	Unknown	0	0	Unknown	0	Male	Conference	Conference & Field Work			Music	Unknown	Unknown	None								
35	Graduate Student	4	6	Master Student	6.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R2	Research University	Kent, Ohio	Kent State University	Music	Unknown	Unknown	None			Kent	Ohio	US	44243	44243	
36	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	Ivy League	Research University	New Haven, Connecticut	Yale University	French	No	No	None			New Haven	Connecticut	US	06511	06511	
37	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Waltham, Massachusetts	Brandeis University	French	Unknown	Unknown	None			Waltham	Massachusetts	US	02453	02453	
38	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Ivy League	Research University	Ithaca, New York	Cornell University	French	No	No	None			Ithaca	New York	US	14850	14850	
39	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Graduate Student	4	6	Graduate Student	6	Male	University of California	Research University	(California)	University of California	Humanities 	Unknown	Unknown	Unknown				California	US			
40	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University				Yes	Yes	Yes								
41	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Field Work	Conference & Field Work			Linguistics	No	No	None								
42	Unknown	0	0	Unknown	0	Faculty	7	16	Faculty	16	Male	Small Liberal Arts College	Other College			English 	Unknown	Unknown	Unknown								
43	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University	Searcy, Arkansas	Harding University	[Refuse to Answer]	No	No	None			Searcy	Arkansas	US	72143	72143	
44	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Associate Professor	24.5	Male	R1	Research University			History 	Unknown	Private	None								
45	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	Ivy League	Research University	Hanover, New Hampshire	Dartmouth College		Unknown	Unknown	None			Hanover	New Hampshire	US	03755	03755	
