,id,tag
0,3,['worried']
1,6,"['worse', 'worse']"
2,7,['wary']
3,11,['ptsd']
4,12,['fear']
5,13,['angry']
6,16,['doubted']
7,17,"['stressful', 'stressful']"
8,18,['stressful']
9,20,['doubted']
10,22,['doubted']
11,24,"['suicidal', 'therapy', 'therapy']"
12,27,['therapy']
13,29,['ptsd']
14,30,"['angry', 'angry', 'anxiety', 'lost']"
15,31,['affected']
16,32,"['anxiety', 'depression']"
17,33,['stressful']
18,34,['depression']
19,35,"['depression', 'depression', 'fear', 'fear']"
20,38,"['stressful', 'stressful']"
21,39,"['depression', 'ptsd', 'ptsd']"
22,40,['anxiety']
23,45,['fear']
24,47,"['anxiety', 'anxiety', 'depression', 'depression', 'suicidal', 'suicidal']"
25,49,['therapy']
26,53,"['angry', 'lonely', 'therapy']"
27,55,['depression']
28,59,['upset']
29,61,"['fear', 'fear']"
30,63,"['anxiety', 'fear']"
31,64,"['lonely', 'wary']"
32,65,"['doubted', 'stressful', 'stressful']"
33,66,['fear']
34,72,"['therapy', 'therapy', 'therapy']"
35,73,['stressful']
36,74,['angry']
37,77,['stressful']
38,78,['anxiety']
39,79,['depression']
40,80,['angry']
41,81,['ptsd']
42,83,"['depression', 'depression', 'doubted', 'doubted']"
43,85,['stressful']
44,86,['angry']
45,87,"['angry', 'stressful']"
46,89,['unsafe']
47,96,['stressful']
48,97,"['anxiety', 'depression']"
49,99,"['blamed', 'therapy']"
50,100,"['anxiety', 'stressful']"
51,101,"['depression', 'depression', 'stressful']"
52,109,"['stressful', 'stressful']"
53,110,['ptsd']
54,111,"['doubted', 'lost']"
55,113,"['blamed', 'uncomfortable']"
56,118,"['depression', 'doubted']"
57,119,"['stressful', 'vulnerable']"
58,120,"['anxiety', 'anxiety', 'depression', 'depression']"
59,122,['bad']
60,124,"['anxiety', 'depression']"
61,129,['angry']
62,132,"['lonely', 'blamed', 'lonely', 'stressful', 'stressful', 'uncomfortable', 'upset', 'upset']"
63,135,['lonely']
64,137,['stressful']
65,138,"['lonely', 'worried']"
66,139,"['anxiety', 'anxiety', 'stressful', 'stressful']"
67,141,['depression']
68,144,"['anxiety', 'anxiety', 'stressful']"
69,145,"['anxiety', 'disorder', 'disorder', 'therapy']"
70,146,['depression']
71,149,"['angry', 'angry', 'shame', 'shame', 'upset']"
72,152,['anxiety']
73,154,['therapy']
74,155,['doubted']
75,156,"['doubted', 'doubted']"
76,158,"['anxiety', 'shame']"
77,161,"['fear', 'uncomfortable']"
78,162,['angry']
79,163,['wary']
80,164,['anxiety']
81,166,"['anxiety', 'anxiety', 'depression', 'depression']"
82,167,"['anxiety', 'depression']"
83,168,"['angry', 'angry']"
84,169,"['depression', 'stressful']"
85,170,"['anxiety', 'depression']"
86,171,"['anxiety', 'stressful']"
87,172,"['affected', 'lost']"
88,173,['fear']
89,174,['lost']
90,175,"['anxiety', 'stressful']"
91,176,['anxiety']
92,180,"['anxiety', 'anxiety', 'shame']"
93,183,['panic']
94,184,"['lonely', 'therapy']"
95,186,"['anxiety', 'anxiety', 'depression']"
96,187,['doubted']
97,189,['uncomfortable']
98,191,"['bad', 'doubted']"
99,193,"['angry', 'doubted']"
100,194,['unsafe']
101,197,['doubted']
102,198,['fear']
103,200,['depression']
104,201,['lost']
105,203,"['angry', 'upset', 'upset']"
106,204,['angry']
107,205,['doubted']
108,206,"['anxiety', 'ptsd', 'stressful', 'therapy']"
109,210,['uncomfortable']
110,212,['anxiety']
111,214,"['guilty', 'shame']"
112,216,"['anxiety', 'depression', 'depression']"
113,218,"['angry', 'upset']"
114,219,"['angry', 'vulnerable']"
115,220,"['lonely', 'wary']"
116,224,['lonely']
117,225,"['doubted', 'fear']"
118,227,['uncomfortable']
119,228,"['upset', 'upset']"
120,231,"['anxiety', 'bad', 'bad', 'depression', 'struggling']"
121,233,['bad']
122,235,"['bad', 'bad']"
123,236,"['anxiety', 'anxiety']"
124,237,"['fear', 'anxiety', 'sufferring', 'sufferring']"
125,241,['uncomfortable']
126,244,['bad']
127,250,['stressful']
128,252,"['anxiety', 'anxiety']"
129,253,['disorder']
130,254,"['fear', 'fear']"
131,259,"['depression', 'depression']"
132,261,"['lonely', 'stressful']"
133,263,['depression']
134,264,['uncomfortable']
135,265,['bad']
136,269,"['lost', 'stressful', 'stressful']"
137,270,"['anxiety', 'fear']"
138,274,['angry']
139,278,['doubted']
140,279,['angry']
141,280,['angry']
142,281,"['anxiety', 'anxiety']"
143,285,"['lonely', 'anxiety', 'anxiety', 'depression', 'struggling']"
144,288,"['anxiety', 'depression', 'depression', 'ptsd', 'ptsd']"
145,290,"['anxiety', 'anxiety', 'disorder']"
146,294,"['anxiety', 'doubted', 'worried', 'worse']"
147,295,"['stressful', 'stressful']"
148,296,['stressful']
149,300,['worse']
150,301,"['lonely', 'depression', 'therapy']"
151,303,"['anxiety', 'anxiety', 'depression', 'fear', 'fear']"
152,304,"['affected', 'anxiety']"
153,305,['wary']
154,308,"['abusive', 'worse']"
155,309,"['fear', 'worried']"
156,312,"['depression', 'depression']"
157,315,['depression']
158,316,"['angry', 'angry']"
159,318,"['doubted', 'upset']"
160,320,"['anxiety', 'depression', 'depression']"
161,321,['stressful']
162,323,"['affected', 'angry']"
