,count,word
1,459,nan
180,218,felt
14,206,made
7,193,feel
166,181,anxiety
54,179,still
111,168,time
140,159,would
15,131,like
56,131,years
125,114,me.
230,113,work
479,107,i'm
4,104,think
206,104,also
194,101,depression
220,98,even
2,97,one
177,90,never
80,90,harassment
848,87,people
154,86,male
104,84,stress
123,81,could
546,80,mental
256,76,lot
623,75,really
95,74,-
354,72,"depression,"
107,72,sexual
405,72,get
130,71,men
0,71,see
813,70,know
410,70,much
374,66,students
672,64,thought
49,64,it.
323,64,department
352,63,"anxiety,"
201,63,graduate
88,60,first
158,59,many
187,58,around
321,58,took
422,57,incident
360,57,health
362,55,go
1137,55,panic
65,54,angry
562,54,women
208,54,student
253,54,i've
301,54,every
247,54,feeling
507,53,always
137,52,life
326,52,him.
228,52,trust
319,51,long
202,50,school
684,49,impact
169,49,since
117,48,none
48,48,ptsd
846,47,alone
1475,47,working
690,47,hard
50,47,afraid
491,47,faculty
214,46,depressed
320,46,time.
858,46,"me,"
297,46,year
165,45,lost
30,45,happened
413,44,grad
304,44,told
972,44,severe
851,43,two
36,43,went
126,43,self
576,43,feelings
332,43,though
381,42,already
649,42,going
82,41,professor
134,41,became
771,41,person
363,41,therapy
406,40,back
143,40,friends
1279,40,months
998,40,well
83,40,stressful
761,40,whether
739,40,something
532,39,fear
931,39,good
509,38,experienced
1075,38,relationship
1034,37,anxious
409,37,"time,"
692,37,say
282,36,several
506,36,deal
307,36,want
619,36,avoid
345,36,way
1197,36,sense
558,35,anger
447,35,upset
178,34,knew
1083,34,professional
1053,34,makes
293,34,left
773,34,someone
1756,33,loss
16,33,professors
116,32,research
250,32,nothing
1109,32,shame
1349,32,away
849,32,support
735,32,uncomfortable
537,32,confidence
188,32,colleagues
157,31,spent
865,31,lack
726,31,female
42,31,make
378,31,behavior
1153,31,extremely
593,31,depression.
1608,30,experience
1805,30,almost
975,30,years.
928,30,another
751,30,pretty
822,30,significant
1688,30,less
73,29,new
442,29,phd
750,29,got
67,29,doubt
791,29,able
389,29,talk
950,29,situation
61,29,unable
268,29,i'd
265,29,take
919,29,field
68,28,academic
498,28,caused
173,28,affected
47,28,difficult
838,28,said
1441,28,anything
52,28,campus
585,27,"it,"
1071,27,continue
964,27,might
407,27,"him,"
1214,27,contributed
566,27,job
278,27,developed
767,27,career
132,27,place
29,27,ever
103,26,office
812,26,this.
571,26,taken
443,26,program
3,26,thing
97,26,work.
755,26,wanted
1223,26,man
264,26,university
275,26,emotional
131,25,question
296,25,class
682,25,help
203,25,due
734,25,things
9,25,woman
21,25,saw
138,25,put
1439,25,sleep
2079,25,attacks
774,25,sure
270,24,part
1404,24,often
467,24,enough
277,24,definitely
665,24,report
626,24,issues
618,24,trying
615,24,iâ€™m
1013,24,fact
1050,24,anxiety.
471,24,need
64,24,find
671,24,others
519,24,actually
766,24,career.
271,23,getting
1765,23,day
359,23,physical
958,23,realize
385,23,power
303,23,constantly
896,23,used
990,23,"anger,"
861,23,probably
417,23,tried
229,23,institution
1065,23,social
1704,23,abuse
1097,23,come
561,22,protect
1568,22,seemed
2599,22,"now,"
1011,22,wonder
960,22,"stress,"
1639,22,done
343,21,room
1406,21,suffered
1165,21,anyone
