,emotions,id,sentence
0,['worry'],3,['see']
1,"['worst', 'worse', 'worse']",6,['nan']
2,['nervous'],7,"['one', 'thing', 'think', 'about,', 'worry', 'about,', 'feel', 'unwelcome', 'about,', 'woman', 'academy.']"
3,['difficult'],10,['nan']
4,['ptsd'],11,"['mostly', 'annoyed,', 'scarred,', 'made', 'feel', 'like', 'professors', 'male-dominated', 'area', 'study', 'mainly', 'saw', 'piece', 'ass,', 'emerging', 'scholar']"
5,['afraid'],12,"['impossible', 'assess.', 'worst', 'thing', 'ever', 'happened', '(', 'worse', 'divorce,', 'worse', 'breast', 'cancer).', 'went', 'fighting', 'respect', 'ideals.']"
6,"['unable', 'angry', 'frustrated']",13,"['random', 'emails', 'make', 'nervous']"
7,['doubt'],16,['nan']
8,['stress.'],17,['nan']
9,"['stressful', 'stressful', 'stress', 'discomfort']",18,"['made', 'pregnancy', 'degree', 'completion', 'difficult']"
10,['doubt'],20,"['ptsd', 'it.']"
11,['question'],22,"['afraid', 'walk', 'campus']"
12,"['suicidal', 'therapy.']",24,"['some.', 'still', 'is,', 'years', 'afterward,', 'distressing', 'hold', 'information', 'unable', 'act', 'on.', 'find', 'angry', 'frustrated', 'think']"
13,['paranoid'],27,['nan']
14,['ptsd'],29,['nan']
15,"['lost', 'anxiety', 'anger.']",30,"['doubt', 'academic', 'abilities']"
16,"['affected', 'never', 'concerned']",31,"['overall', 'stress.']"
17,"['anxiety', 'depression', 'exacerbated']",32,"['starting', 'new', 'tenure', 'track', 'position', 'known', 'stressful,', 'honestly,', 'harassment', 'made', 'beginning', 'position', 'professor', 'stressful', 'upsetting.', 'wrote', '3', 'grants', 'first', 'year,', 'taught', 'overload,', 'published', '5', 'manuscripts.', 'find', 'stressful', '-', 'enjoyed', 'work.', 'kept', 'nights,', 'brought', 'tears,', 'made', 'hide', 'office', 'stress', 'discomfort', 'wondering', 'sexual', 'harassment', 'experiencing.', 'teaching', '3', 'new', 'courses,', 'teaching', 'first', 'time', 'ever,', 'writing', 'grants,', 'continuing', 'research', '-', 'none', 'brought', 'tears', 'first', 'year.', 'thing', 'brought', 'tears', 'experiences', 'one', 'individual', '-', 'supposedly', 'could', ""'help'"", 'me.']"
18,['stress'],33,['nan']
19,['depressed'],34,"['self', 'doubt', 'general', 'suspicion', 'senior', 'men']"
20,"['depressed,', 'fearful']",35,['nan']
21,"['stressful.', 'trust']",38,"['made', 'question', 'place', 'academy']"
22,"['ptsd,', 'depression']",39,['nan']
23,"['anxiety', 'emotional', 'definitely', 'emotional']",40,"['became', 'suicidal', 'thinking', 'years', 'life', 'put', 'academia', 'would', 'mean', 'nothing,', 'friends', 'program.', 'start', 'therapy.']"
24,['never'],41,"['don’t', 'like', 'play', 'piano', 'anymore.']"
25,['hated'],44,['nan']
26,"['scared', 'scared', 'disgusting']",45,"['it’s', 'made', 'paranoid', 'interaction', 'male', 'colleagues,', 'men', 'general']"
27,['definitely'],46,['nan']
28,"['anxiety,', 'depression,', 'suicide.', 'impacted']",47,['ptsd']
29,['therapy'],49,"['spent', 'many', 'days', 'worrying', 'done,', 'he’d', 'next', 'respond.', 'lost', 'many', 'writing', 'days', 'anxiety', 'anger.']"
30,"['isolated', 'lonely', 'angry', 'therapy', 'nightmares']",53,"['18', 'years', 'since', 'anonymous', 'email', 'still', 'remember', 'feel', 'affected', 'it.', 'next', 'three', 'years', 'receiving', 'email,', 'never', 'knew', 'sent', 'felt', 'right', 'suggest', 'violate', 'marriage', 'vows.', 'felt', 'guarded', 'around', 'colleagues', 'wondering', 'sent', 'it.', 'felt', 'concerned', 'interactions', 'colleagues', 'lest', 'think', 'flirting', 'friendly']"
31,"['depressed', 'disillusioned']",55,"['anxiety', 'depression', 'exacerbated', 'experiences']"
32,"['upset', 'disgusted']",59,"['felt', 'judged', 'appearance', 'gained', 'weight', 'graduate', 'school', 'due', 'stress', 'kids.', 'boss', 'also', 'favored', 'graduate', 'student', 'found', 'attractive,', 'made', 'lab', 'members', 'resentful.']"
33,"['frightened', 'terrified']",61,"['became', 'depressed', 'withdrawn']"
34,"['terrified', 'anxiety']",63,"['became', 'depressed,', 'withdrawn,', 'fearful', 'whenever', 'would', 'see', 'even', 'knowing', 'around', 'young', 'students,', 'high', 'school', 'college']"
35,"['wary', 'nervous', 'isolated']",64,['nan']
36,"['increased', 'stress.', 'mistrust']",65,['nan']
37,"['never', 'fear']",66,"['stressful.', 'longer', 'trust', 'institution', 'work', '(also', 'insistent', 'protection', 'harassers', 'students,', 'willingness', 'destroy', ""students'"", 'careers', 'order', 'achieve', 'protection']"
38,"['traumatized', 'therapy.']",72,"['ptsd,', 'depression']"
39,"['stress', 'mental']",73,"['first', 'week', 'afterwards,', 'spent', 'afternoon', 'desk', 'feeling', 'like', 'bottom', 'ocean', 'nothing', 'real.', 'anxiety', 'attack', ""i've"", 'ever', 'had.', 'paradoxically,', 'lot', 'swiftness', ""university's"", 'response.', 'course', '48', 'hours', 'so,', 'went', 'wondering', 'university', 'would', 'take', 'us', 'seriously', 'knowing', ""i'd"", 'played', 'part', 'getting', 'removed', 'university.', 'seriously', 'heavy', 'emotional', 'whiplash.', 'definitely', 'developed', 'emotional', 'trigger', 'around', 'workplace/academic', 'sexual', 'harassment.', 'several', 'years', 'later,', 'real', 'mess', 'week', '#metoo', 'went', 'viral']"
40,"['anger', 'emotional', 'anger']",74,"['mini', 'breakdown', 'second', 'summer', 'project', 'left', 'early.', 'never', 'return.']"
41,['stress'],77,['nan']
42,['anxiety'],78,['none']
43,['depression'],79,"['take', 'class', 'year', 'half', 'later.', 'hated', 'every', 'second', 'it.', 'stared', 'constantly', 'told', 'wear', 'heals', 'want', '""boys""', 'stare', 'me.', 'also', 'ended', 'switching', 'major', 'professors', 'first', 'major', 'professor', 'friends', 'harasser.', 'feared', 'would', 'end', 'way,', ""i'd"", 'recourse.']"
